food_id,name,meal_type,calories,protein,carbs,fats,vegetarian,vegan,eggetarian,non_veg,contains_dairy,contains_gluten,contains_nuts,contains_soy,contains_eggs,contains_seafood,diabetes_friendly,bp_friendly,thyroid_friendly,pcos_friendly,heart_friendly,cholesterol_friendly,anemia_friendly,arthritis_friendly,weight_loss_friendly,muscle_gain_friendly,maintenance_friendly,weight_gain_friendly,healthy_lifestyle_friendly,budget_level,ingredients
1,Oats Vegetable Upma,breakfast,220,7,38,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Oats|Onion|Carrot|Beans|Peas|Green Chilli|Mustard Seeds|Curry Leaves|Salt|Oil
2,Moong Dal Chilla,breakfast,200,12,30,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Moong Dal|Onion|Green Chilli|Coriander|Salt|Turmeric|Oil
3,Vegetable Poha,breakfast,240,6,44,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Poha|Onion|Peanuts|Mustard Seeds|Curry Leaves|Turmeric|Green Chilli|Salt|Oil
4,Ragi Porridge,breakfast,190,6,35,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Ragi Flour|Milk or Water|Cardamom|Salt
5,Vegetable Dalia,breakfast,230,8,42,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Broken Wheat|Onion|Carrot|Beans|Peas|Green Chilli|Salt|Oil
6,Sprouted Moong Salad,breakfast,170,11,26,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Sprouted Moong|Onion|Tomato|Cucumber|Lemon|Salt|Coriander
7,Vegetable Idli,breakfast,180,6,34,2,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Urad Dal|Carrot|Beans|Salt
8,Oats Idli,breakfast,200,8,32,3,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Oats|Rice|Urad Dal|Carrot|Beans|Salt
9,Vegetable Uttapam (Low Oil),breakfast,250,7,40,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice Batter|Onion|Tomato|Capsicum|Green Chilli|Salt|Oil
10,Besan Chilla,breakfast,210,11,28,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Besan|Onion|Green Chilli|Coriander|Salt|Turmeric|Oil
11,Vegetable Millet Upma,breakfast,220,7,36,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Millet Rava|Onion|Carrot|Beans|Peas|Green Chilli|Salt|Oil
12,Boiled Eggs with Veg Salad,breakfast,200,14,8,10,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Eggs|Cucumber|Tomato|Carrot|Salt|Pepper
13,Egg White Omelette,breakfast,180,16,4,6,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Egg Whites|Onion|Green Chilli|Salt|Pepper|Oil
14,Vegetable Suji Upma (Low Oil),breakfast,240,7,42,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Suji|Onion|Carrot|Beans|Peas|Green Chilli|Salt|Oil
15,Low Fat Paneer Bhurji,breakfast,230,16,8,12,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Paneer|Onion|Tomato|Green Chilli|Turmeric|Salt|Oil
16,Vegetable Handvo,breakfast,220,8,34,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Urad Dal|Bottle Gourd|Carrot|Green Chilli|Salt|Oil
17,Methi Thepla (Low Oil),breakfast,260,7,38,7,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Methi Leaves|Green Chilli|Turmeric|Salt|Oil
18,Vegetable Oats Cheela,breakfast,210,9,30,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Oats Flour|Onion|Carrot|Capsicum|Green Chilli|Salt|Oil
19,Plain Paratha (No Oil) with Curd,breakfast,280,9,40,6,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Wheat Flour|Curd|Salt
20,Vegetable Sevai Upma,breakfast,230,6,40,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Sevai|Onion|Carrot|Beans|Peas|Green Chilli|Salt|Oil
21,2 Roti with Lauki Sabzi, lunch,340,10,55,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Bottle Gourd|Onion|Tomato|Green Chilli|Turmeric|Salt|Oil
22,2 Roti with Tinda Sabzi, lunch,330,9,54,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Tinda|Onion|Tomato|Green Chilli|Turmeric|Salt|Oil
23,2 Roti with Mix Veg Curry, lunch,360,11,58,7,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Potato|Carrot|Beans|Peas|Onion|Tomato|Salt|Oil
24,Brown Rice with Dal Tadka (Low Oil), lunch,420,14,70,8,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Brown Rice|Toor Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
25,Vegetable Khichdi, lunch,390,12,65,6,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Moong Dal|Carrot|Beans|Peas|Turmeric|Salt|Oil
26,Millet Khichdi, lunch,370,11,60,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Millets|Moong Dal|Carrot|Beans|Peas|Turmeric|Salt|Oil
27,Palak Dal with 2 Roti, lunch,400,16,58,7,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Spinach|Toor Dal|Onion|Tomato|Garlic|Salt|Oil
28,Chana Masala with 1 Roti, lunch,420,17,60,8,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Chickpeas|Onion|Tomato|Garlic|Garam Masala|Salt|Oil
29,Sprouts Curry with Roti, lunch,380,18,50,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Sprouted Moong|Onion|Tomato|Turmeric|Salt|Oil
30,Vegetable Oats Khichdi, lunch,350,12,55,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Oats|Moong Dal|Carrot|Beans|Peas|Turmeric|Salt|Oil
31,Grilled Chicken with Salad, lunch,360,28,10,12,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Chicken|Lettuce|Cucumber|Tomato|Pepper|Salt
32,Chicken Curry (Low Oil) with 1 Roti, lunch,420,25,40,12,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Wheat Flour|Chicken|Onion|Tomato|Garlic|Ginger|Spices|Salt|Oil
33,Egg Curry with 1 Roti, lunch,410,22,38,14,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Wheat Flour|Eggs|Onion|Tomato|Garlic|Spices|Salt|Oil
34,Paneer Bhurji with 1 Roti, lunch,430,20,35,18,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Wheat Flour|Paneer|Onion|Tomato|Green Chilli|Turmeric|Salt|Oil
35,Tofu Vegetable Curry with Roti, lunch,390,18,45,10,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Wheat Flour|Tofu|Onion|Tomato|Capsicum|Spices|Salt|Oil
36,Lauki Chana Dal with 2 Roti, lunch,380,15,55,7,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Bottle Gourd|Chana Dal|Onion|Tomato|Turmeric|Salt|Oil
37,Tur Dal with Brown Rice, lunch,430,14,70,7,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Brown Rice|Toor Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
38,Vegetable Sambar with 2 Idli, lunch,350,12,60,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Urad Dal|Toor Dal|Vegetables|Tamarind|Sambar Powder|Salt
39,Palak Tofu Curry with Roti, lunch,370,19,42,9,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Wheat Flour|Spinach|Tofu|Onion|Tomato|Garlic|Salt|Oil
40,Methi Dal with 2 Roti, lunch,390,16,58,7,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Methi Leaves|Toor Dal|Onion|Tomato|Turmeric|Salt|Oil
41,Moong Dal Khichdi,dinner,340,13,55,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Moong Dal|Turmeric|Salt|Ghee
42,Bajra Vegetable Khichdi,dinner,330,11,52,6,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Bajra|Moong Dal|Carrot|Beans|Peas|Turmeric|Salt|Oil
43,Lauki Moong Dal with 1 Roti,dinner,300,14,42,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Bottle Gourd|Moong Dal|Onion|Tomato|Turmeric|Salt|Oil
44,Tinda Chana Dal with 1 Roti,dinner,310,13,45,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Tinda|Chana Dal|Onion|Tomato|Turmeric|Salt|Oil
45,Palak Dal with 1 Phulka,dinner,320,15,40,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Spinach|Toor Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
46,Vegetable Dalia,dinner,300,10,52,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Broken Wheat|Carrot|Beans|Peas|Onion|Green Chilli|Salt|Oil
47,Lauki Tomato Sabzi with 1 Roti,dinner,280,8,42,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Bottle Gourd|Tomato|Onion|Turmeric|Salt|Oil
48,Palak Moong Sabzi with 1 Roti,dinner,290,10,40,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Spinach|Moong Dal|Onion|Tomato|Turmeric|Salt|Oil
49,Dudhi Chana Sabzi with 1 Roti,dinner,310,12,44,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Bottle Gourd|Chana Dal|Onion|Tomato|Turmeric|Salt|Oil
50,Masoor Dal with 1 Phulka,dinner,330,16,45,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Masoor Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
51,Vegetable Moong Dal Soup with 1 Roti,dinner,300,14,38,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Moong Dal|Carrot|Beans|Tomato|Turmeric|Salt|Oil
52,Methi Moong Dal,dinner,240,13,30,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Moong Dal|Methi Leaves|Onion|Tomato|Turmeric|Salt|Oil
53,Vegetable Handvo,dinner,280,9,38,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Urad Dal|Bottle Gourd|Carrot|Green Chilli|Salt|Oil
54,Dudhi Muthiya,dinner,250,8,35,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Bottle Gourd|Gram Flour|Green Chilli|Turmeric|Salt|Oil
55,Vegetable Oats Khichdi,dinner,310,12,48,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Oats|Moong Dal|Carrot|Beans|Peas|Turmeric|Salt|Oil
56,Palak Tomato Dal Soup with 1 Roti,dinner,290,13,36,4,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Spinach|Tomato|Toor Dal|Garlic|Turmeric|Salt|Oil
57,Tur Dal with 1 Phulka,dinner,320,14,45,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Wheat Flour|Toor Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
58,Vegetable Bajra Rotla with Dudhi Sabzi,dinner,350,12,50,7,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Bajra Flour|Bottle Gourd|Onion|Tomato|Turmeric|Salt|Oil
59,Moong Dal Chilla (Dinner Portion),dinner,280,14,36,5,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Moong Dal|Onion|Green Chilli|Coriander|Salt|Turmeric|Oil
60,Vegetable Thin Khichdi,dinner,300,12,48,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Moong Dal|Carrot|Beans|Peas|Turmeric|Salt|Oil
61,Roasted Chana, snack,120,6,18,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Chana|Salt
62,Roasted Makhana, snack,100,4,16,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Makhana|Salt|Pepper
63,Sprouts Chaat, snack,150,10,22,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Sprouted Moong|Onion|Tomato|Cucumber|Lemon|Salt|Coriander
64,Cucumber Carrot Salad, snack,80,2,14,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Cucumber|Carrot|Lemon|Salt|Pepper
65,Buttermilk (Low Salt), snack,90,4,10,2,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Curd|Water|Salt|Cumin Powder
66,Green Moong Salad, snack,140,9,22,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Boiled Green Moong|Onion|Tomato|Lemon|Salt|Coriander
67,Boiled Corn (No Butter), snack,150,5,30,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Sweet Corn|Salt|Pepper
68,Apple Slices with Cinnamon, snack,90,1,22,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Apple|Cinnamon
69,Guava Pieces, snack,80,2,14,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Guava|Salt
70,Boiled Egg, snack,90,6,1,7,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Egg|Salt|Pepper
71,Egg White Snack Bowl, snack,110,12,2,3,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Egg Whites|Onion|Pepper|Salt
72,Low Fat Paneer Cubes, snack,150,12,3,9,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Low Fat Paneer|Salt|Pepper
73,Roasted Peanuts (Small Portion), snack,180,7,6,15,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Peanuts|Salt
74,Vegetable Soup, snack,90,4,12,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Carrot|Beans|Cabbage|Pepper|Salt
75,Tomato Soup, snack,100,3,18,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Tomato|Garlic|Pepper|Salt
76,Chana Sundal, snack,160,8,26,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Chickpeas|Mustard Seeds|Curry Leaves|Grated Coconut|Salt
77,Moong Dal Cheela (Mini), snack,170,10,22,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Moong Dal|Onion|Green Chilli|Salt|Turmeric|Oil
78,Vegetable Handvo Slice, snack,180,7,28,5,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Rice|Urad Dal|Bottle Gourd|Carrot|Salt|Oil
79,Roasted Soy Nuts, snack,170,14,12,6,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,medium,Soy Nuts|Salt
80,Lemon Coconut Water, snack,70,1,16,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,low,Coconut Water|Lemon
81,Paneer Moong Dal Cheela,breakfast,380,26,35,14,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Moong Dal|Paneer|Onion|Green Chilli|Salt|Turmeric|Oil
82,Paneer Stuffed Oats Cheela,breakfast,390,25,32,15,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Oats Flour|Paneer|Onion|Green Chilli|Salt|Turmeric|Oil
83,Soya Chunk Upma,breakfast,400,30,45,8,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Soya Chunks|Suji|Onion|Carrot|Beans|Peas|Salt|Oil
84,High Protein Vegetable Dalia,breakfast,370,20,55,6,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Broken Wheat|Moong Dal|Carrot|Beans|Peas|Salt|Oil
85,Sprouted Moong Breakfast Bowl,breakfast,350,21,45,6,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Sprouted Moong|Onion|Tomato|Cucumber|Lemon|Salt
86,Moong Dal Cheela with Curd,breakfast,350,22,38,8,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Moong Dal|Curd|Onion|Green Chilli|Salt|Turmeric|Oil
87,Besan Paneer Cheela,breakfast,390,26,30,16,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Besan|Paneer|Onion|Green Chilli|Salt|Turmeric|Oil
88,Vegetable Soya Poha,breakfast,360,19,60,6,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Poha|Soya Chunks|Onion|Peanuts|Mustard Seeds|Turmeric|Salt|Oil
89,Paneer Millet Upma,breakfast,410,24,50,14,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Millet Rava|Paneer|Onion|Carrot|Beans|Salt|Oil
90,Peanut Butter Multigrain Toast,breakfast,390,18,40,18,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Multigrain Bread|Peanut Butter
91,3 Boiled Eggs,breakfast,360,27,6,24,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Eggs|Salt|Pepper
92,Egg White Vegetable Omelette,breakfast,320,28,10,10,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Egg Whites|Onion|Capsicum|Salt|Pepper|Oil
93,Chicken Omelette,breakfast,410,34,6,22,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Eggs|Chicken|Onion|Salt|Pepper|Oil
94,Grilled Chicken Breakfast Bowl,breakfast,420,35,12,18,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,high,Chicken|Lettuce|Cucumber|Tomato|Salt|Pepper
95,Soya Paneer Protein Bowl,breakfast,420,32,18,20,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Soya Chunks|Paneer|Onion|Capsicum|Salt|Pepper|Oil
96,Tofu Moong Dal Cheela,breakfast,370,26,35,12,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Moong Dal|Tofu|Onion|Green Chilli|Salt|Turmeric|Oil
97,High Protein Ragi Porridge,breakfast,340,18,50,6,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Ragi Flour|Milk or Water|Almonds|Salt
98,Paneer Oats Breakfast Bowl,breakfast,410,27,38,14,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Oats|Paneer|Milk|Dry Fruits|Salt
99,Sprouted Soya Salad,breakfast,360,24,30,8,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Sprouted Soya|Onion|Tomato|Cucumber|Lemon|Salt
100,High Protein Besan Cheela,breakfast,340,22,30,10,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Besan|Onion|Green Chilli|Salt|Turmeric|Oil
101,Paneer Butter Masala with 2 Roti,lunch,620,32,55,30,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Paneer|Butter|Onion|Tomato|Cream|Spices|Salt
102,Paneer Bhurji with 3 Phulka,lunch,580,34,48,28,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Paneer|Onion|Tomato|Green Chilli|Turmeric|Salt|Oil
103,Soya Chunk Curry with 2 Roti,lunch,560,38,60,12,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Wheat Flour|Soya Chunks|Onion|Tomato|Garlic|Spices|Salt|Oil
104,Chana Masala with Brown Rice,lunch,540,26,85,10,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Brown Rice|Chickpeas|Onion|Tomato|Garlic|Spices|Salt|Oil
105,Rajma with Brown Rice,lunch,560,28,90,10,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Brown Rice|Rajma|Onion|Tomato|Garlic|Spices|Salt|Oil
106,Palak Paneer with 2 Phulka,lunch,600,30,40,32,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Paneer|Spinach|Onion|Tomato|Garlic|Spices|Salt|Oil
107,Tofu Curry with Multigrain Roti,lunch,520,32,50,18,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Multigrain Flour|Tofu|Onion|Tomato|Garlic|Spices|Salt|Oil
108,Soya Paneer Curry with Roti,lunch,610,40,48,24,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Soya Chunks|Paneer|Onion|Tomato|Spices|Salt|Oil
109,Moong Dal with 3 Phulka,lunch,520,26,70,10,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Wheat Flour|Moong Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
110,Masoor Dal with Brown Rice,lunch,540,27,80,8,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Brown Rice|Masoor Dal|Onion|Tomato|Garlic|Turmeric|Salt|Oil
111,Grilled Chicken with 2 Roti,lunch,600,42,45,20,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Chicken|Salt|Pepper|Oil
112,Chicken Curry with Brown Rice,lunch,650,40,70,22,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Brown Rice|Chicken|Onion|Tomato|Garlic|Spices|Salt|Oil
113,Chicken Keema with 2 Phulka,lunch,620,45,40,26,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Chicken Keema|Onion|Tomato|Garlic|Spices|Salt|Oil
114,Egg Curry with 2 Roti,lunch,580,34,48,24,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Eggs|Onion|Tomato|Garlic|Spices|Salt|Oil
115,Egg Bhurji with 3 Phulka,lunch,560,32,52,22,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Wheat Flour|Eggs|Onion|Tomato|Green Chilli|Salt|Oil
116,Fish Curry with Brown Rice,lunch,620,38,60,24,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,high,Brown Rice|Fish|Onion|Tomato|Garlic|Spices|Salt|Oil
117,Grilled Fish with Roti,lunch,580,42,30,20,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,high,Wheat Flour|Fish|Salt|Pepper|Oil
118,Paneer Rajma Bowl,lunch,640,36,70,26,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Paneer|Rajma|Onion|Tomato|Garlic|Spices|Salt|Oil
119,Soya Chana Protein Bowl,lunch,600,42,65,14,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,low,Soya Chunks|Chickpeas|Onion|Tomato|Spices|Salt|Oil
120,Chicken Dal Protein Combo,lunch,660,48,55,22,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Chicken|Moong Dal|Onion|Tomato|Garlic|Spices|Salt|Oil
121,Kadhi with Paneer Moong Khichdi,dinner,540,30,70,16,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,medium,Curd|Besan|Paneer|Rice|Moong Dal|Turmeric|Salt|Ghee
