exercise_id,name,category,met_value,intensity_level,impact_level,duration_min,beginner_friendly,intermediate_friendly,advanced_friendly,home_friendly,gym_required,outdoor_only,bodyweight_only,dumbbell_supported,band_supported,full_gym_supported,weight_loss_friendly,muscle_gain_friendly,flexibility_friendly,stress_relief_friendly,endurance_friendly,posture_improving,sedentary_safe,moderate_activity_ok,high_activity_ok,knee_safe,shoulder_safe,lower_back_safe,upper_back_safe,neck_safe,ankle_safe,wrist_safe,elbow_safe,hip_safe,joint_safe,period_safe,safe_during_cramps,safe_for_heavy_flow,reduces_bloating,reduces_fatigue,hormone_balance_help,low_impact_period_ok,diabetes_friendly,bp_friendly,thyroid_friendly,pcos_friendly,heart_friendly,cholesterol_friendly,anemia_friendly,arthritis_friendly,core_targeted,upper_body_targeted,lower_body_targeted,full_body,mobility_improving,balance_improving,sets_min,sets_max,reps_min,reps_max,effort_type,rest_seconds,duration_beginner_min,duration_advanced_min,energy_band,primary_goal,equipment_level
1,brisk walking,cardio,4.3,low,low,30,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,time,0,20,40,medium,endurance,none
2,jogging,cardio,7,medium,medium,30,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,time,0,15,40,high,endurance,none
3,cycling,cardio,6.8,medium,low,30,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,-1,0,20,40,high,endurance
4,jump rope,cardio,12,high,high,15,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,4,8,20,40,reps,30,8,15,extreme,fat_loss,none
5,high knees,cardio,10.5,high,high,10,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,4,8,20,40,reps,30,8,12,extreme,fat_loss,none
6,stair climbing,cardio,8.8,high,medium,15,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,time,0,10,25,high,endurance,none
7,elliptical trainer,cardio,5.5,medium,low,30,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,time,0,20,40,medium,endurance,gym
8,rowing machine,cardio,7.5,medium,low,20,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,time,0,15,30,high,endurance,gym
9,dance cardio,cardio,6,medium,low,30,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,-1,0,20,40,moderate,fat_loss
10,power walking,cardio,5,medium,low,30,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,time,0,20,40,medium,endurance,none
11,push ups,strength,8,medium,medium,15,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,3,5,8,15,reps,60,10,20,high,strength,none
12,bodyweight squats,strength,7.5,medium,medium,15,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,3,5,10,20,reps,60,10,20,high,strength,none
13,lunges,strength,7.8,medium,medium,15,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,3,5,10,15,reps,60,10,20,high,strength,none
14,plank,strength,5,medium,low,10,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,3,4,20,60,reps,45,8,15,medium,strength,none
15,glute bridge,strength,4.5,low,low,15,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,3,4,12,20,reps,45,10,20,medium,strength,none
16,wall sit,strength,5.5,medium,low,10,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,3,4,20,60,reps,45,8,15,medium,strength,none
17,step ups,strength,6.5,medium,medium,15,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,3,4,10,15,reps,60,10,20,high,strength,none
18,superman hold,strength,3.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,3,4,12,20,reps,45,8,15,low,posture,none
19,tricep dips,strength,6,medium,medium,12,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,3,4,10,15,reps,60,10,20,high,strength,none
20,calf raises,strength,3.5,low,low,12,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,3,4,15,25,reps,30,8,15,low,strength,none
21,surya namaskar,yoga,5.5,medium,low,20,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-1,0,20,30,-1,flexibility,none,nan
22,downward dog,yoga,3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,-1,0,10,20,-1,flexibility,none,nan
23,childs pose,yoga,2.3,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,-1,0,10,20,-1,-1,none,nan,nan
24,cobra pose,yoga,2.8,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,time,0,10,20,low,posture,none
25,warrior pose,yoga,3.8,medium,low,15,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,time,0,15,25,medium,strength,none
26,tree pose,yoga,2.5,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,-1,0,10,20,low,balance
27,bridge pose,yoga,3.2,low,low,12,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,time,0,12,22,low,posture,none
28,cat cow pose,yoga,2.8,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,time,0,10,20,low,mobility,none
29,seated forward bend,yoga,2.8,low,low,10,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,-1,0,10,20,-1,flexibility,none,nan
